epochs,train_loss,valid_loss,COCOMetric
74,0.10722666233778,0.19367466866970062,0.7032876376215861
75,0.13703128695487976,0.18342949450016022,0.7191271566397276
76,0.10515838861465454,0.182308629155159,0.7138082258073724
77,0.10317287594079971,0.18432117998600006,0.7035507303539049
78,0.11082441359758377,0.1904321163892746,0.699691896902216
79,0.10705623030662537,0.18887554109096527,0.7008579928460985
80,0.11666679382324219,0.19659525156021118,0.7022560870964505
81,0.1054370179772377,0.19165198504924774,0.7130921142299658
82,0.10384304821491241,0.1877673864364624,0.7074979826459437
83,0.1038874164223671,0.1908319741487503,0.7072026194469461
84,0.09464409202337265,0.19206026196479797,0.6995672176389403
85,0.1046605333685875,0.18402358889579773,0.7185980891071768
86,0.10967322438955307,0.18211348354816437,0.717426703256889
87,0.11922094225883484,0.1945570707321167,0.7053838994707011
88,0.1032283753156662,0.19654132425785065,0.7000278905356324
89,0.0959128588438034,0.19088473916053772,0.7065458022556733
90,0.10479293763637543,0.1901157796382904,0.7055739451227597
91,0.103880375623703,0.1917537897825241,0.7085139482260211
92,0.09127166867256165,0.1909354031085968,0.7093826758158676
93,0.08967473357915878,0.18786180019378662,0.7124114009140425
94,0.09626826643943787,0.19292180240154266,0.7067894720793286
95,0.09910335391759872,0.19013027846813202,0.7118387876081428
96,0.10299205034971237,0.19054409861564636,0.7040542285754847
97,0.08908678591251373,0.19195233285427094,0.7049168375252257
98,0.10202188789844513,0.19161327183246613,0.704977124206229
99,0.10669934749603271,0.1908111870288849,0.704977124206229
